# GB_VLA Name		Flux_4.5GHz (mJy)		Variable (%)	Flux_7.5GHz (mJy)		Variable (%)	Spectral Index
J162611.79-243716.4	(1.66 ± 0.12 ± 0.08)×10−1	20.9 ± 15.5	(1.11 ± 0.12 ± 0.06)×10−1	30.9 ± 17.5	−0.81 ± 0.30
J162616.84-242223.5	(3.37 ± 0.15 ± 0.17)×10−1	>75.9 ± 0.8	(3.60 ± 0.24 ± 0.18)×10−1	>83.1 ± 0.3	0.13 ± 0.22
J162617.66-244014.5	(4.65 ± 0.26 ± 0.23)×10−1	46.3 ± 5.0	(3.31 ± 0.25 ± 0.17)×10−1	30.9 ± 11.5	−0.69 ± 0.24
J162621.72-242250.7	(2.38 ± 0.17 ± 0.12)×10−1	28.8 ± 11.2	(3.04 ± 0.29 ± 0.15)×10−1	>13.2 ± 14.2	0.49 ± 0.28
J162622.38-242253.3	(2.02 ± 0.06 ± 0.10)×10+0	68.6 ± 1.6	(1.42 ± 0.07 ± 0.07)×10+0	85.1 ± 1.4	−0.71 ± 0.18
J162623.57-242439.6	(1.24 ± 0.17 ± 0.06)×10−1	33.5 ± 16.2	(1.15 ± 0.08 ± 0.06)×10−1	>38.2 ± 6.0	−0.15 ± 0.34
J162624.08-241613.5	(1.92 ± 0.15 ± 0.10)×10−1	22.3 ± 9.6	(3.44 ± 0.28 ± 0.17)×10−1	46.6 ± 6.5	1.18 ± 0.27
J162625.62-242429.2	(2.18 ± 0.14 ± 0.11)×10−1	17.6 ± 15.2	(1.98 ± 0.23 ± 0.10)×10−1	>47.2 ± 6.3	−0.19 ± 0.30
J162626.31-242430.2	(1.89 ± 0.34 ± 0.09)×10−1	63.1 ± 11.0	(1.89 ± 0.34 ± 0.09)×10−1	44.7 ± 14.6	−0.0 ± 0.53
J162629.63-242317.2	(2.28 ± 0.14 ± 0.11)×10−1	43.3 ± 10.3	(1.24 ± 0.18 ± 0.06)×10−1	>64.2 ± 9.4	−1.23 ± 0.35
J162629.67-241905.8	(2.67 ± 0.17 ± 0.13)×10−1	57.4 ± 6.0	(2.27 ± 0.21 ± 0.11)×10−1	69.9 ± 5.2	−0.33 ± 0.27
J162630.59-242023.0	(9.80 ± 1.30 ± 0.49)×10−2	36.9 ± 17.1	(6.40 ± 1.70 ± 0.32)×10−2	..........	−0.86 ± 0.62
J162631.28-241832.9	(2.42 ± 0.26 ± 0.12)×10−1	43.8 ± 10.6	(1.39 ± 0.15 ± 0.07)×10−1	8.8 ± 30.6	−1.12 ± 0.34
J162631.34-243341.8	(2.22 ± 0.56 ± 0.11)×10−1	37.1 ± 19.4	(1.66 ± 0.26 ± 0.08)×10−1	>67.9 ± 11.9	−0.59 ± 0.62
J162632.78-241627.5	(9.30 ± 1.50 ± 0.46)×10−2	38.8 ± 18.7	(1.42 ± 0.24 ± 0.07)×10−1	32.1 ± 18.4	0.86 ± 0.49
J162633.16-245246.7	(8.03 ± 0.27 ± 0.40)×10−1	30.7 ± 5.5	(9.18 ± 0.43 ± 0.46)×10−1	49.3 ± 5.3	0.27 ± 0.18
J162633.48-241215.9	(2.12 ± 0.03 ± 0.11)×10+0	17.4 ± 1.5	(9.27 ± 0.32 ± 0.46)×10−1	38.1 ± 5.3	−1.67 ± 0.16
J162634.17-242328.4	(7.98 ± 0.25 ± 0.40)×10+0	12.0 ± 3.4	(7.07 ± 0.34 ± 0.35)×10+0	23.6 ± 5.3	−0.24 ± 0.18
J162634.95-242655.3	(1.97 ± 0.19 ± 0.10)×10−1	30.1 ± 12.9	(1.00 ± 0.13 ± 0.05)×10−1	40.5 ± 13.9	−1.37 ± 0.36
J162635.33-242405.2	(6.50 ± 0.38 ± 0.33)×10−1	9.3 ± 9.3	(3.29 ± 0.33 ± 0.16)×10−1	20.3 ± 18.6	−1.38 ± 0.27
J162636.96-243755.9	(4.00 ± 0.26 ± 0.20)×10−1	12.8 ± 10.7	(1.75 ± 0.24 ± 0.09)×10−1	25.4 ± 15.5	−1.67 ± 0.34
J162637.27-244553.9	(2.91 ± 0.33 ± 0.15)×10−1	52.8 ± 8.4	(1.81 ± 0.26 ± 0.09)×10−1	>78.0 ± 3.0	−0.96 ± 0.40
J162638.99-244529.0	(3.78 ± 0.19 ± 0.19)×10−1	12.8 ± 10.5	(2.29 ± 0.50 ± 0.11)×10−1	>24.6 ± 26.4	−1.01 ± 0.47
J162639.00-243052.8	(4.05 ± 0.27 ± 0.20)×10−1	43.6 ± 9.1	(2.37 ± 0.19 ± 0.12)×10−1	21.4 ± 14.8	−1.08 ± 0.25
J162639.70-241609.7	(1.19 ± 0.16 ± 0.06)×10−1	15.3 ± 31.0	(6.60 ± 1.40 ± 0.33)×10−2	........	−1.19 ± 0.53
J162641.11-245855.8	(6.45 ± 0.26 ± 0.32)×10−1	67.8 ± 3.3	(8.25 ± 0.27 ± 0.41)×10−1	81.0 ± 2.3	0.5 ± 0.18
J162642.44-242626.1	(2.66 ± 0.06 ± 0.13)×10+0	88.0 ± 0.5	(2.48 ± 0.10 ± 0.12)×10+0	92.3 ± 1.2	−0.14 ± 0.17
J162642.53-244628.3	(9.57 ± 0.17 ± 0.48)×10−1	51.3 ± 3.2	(8.31 ± 0.43 ± 0.42)×10−1	35.4 ± 4.5	−0.29 ± 0.18
J162643.76-241633.4	(1.31 ± 0.04 ± 0.07)×10+0	45.6 ± 1.8	(1.35 ± 0.04 ± 0.07)×10+0	46.0 ± 1.8	0.07 ± 0.17
J162646.36-242002.0	(5.53 ± 0.21 ± 0.28)×10−1	15.3 ± 6.4	(7.68 ± 0.20 ± 0.38)×10−1	21.6 ± 5.7	0.66 ± 0.17
J162647.17-245157.4	(5.91 ± 0.25 ± 0.30)×10−1	67.5 ± 5.3	(3.51 ± 0.84 ± 0.18)×10−1	>39.9 ± 14.0	−1.05 ± 0.51
J162647.23-243620.3	(4.18 ± 0.15 ± 0.21)×10−1	21.5 ± 6.9	(4.87 ± 0.24 ± 0.24)×10−1	22.0 ± 7.9	0.31 ± 0.19
J162647.57-245754.8	(5.75 ± 0.62 ± 0.29)×10−1	16.6 ± 13.3	(3.08 ± 0.28 ± 0.15)×10−1	37.4 ± 9.8	−1.26 ± 0.32
J162649.23-242003.3	(9.95 ± 0.27 ± 0.50)×10−1	82.0 ± 2.0	(7.44 ± 0.40 ± 0.37)×10−1	85.0 ± 2.3	−0.59 ± 0.19
J162649.90-245617.5	(2.02 ± 0.15 ± 0.10)×10−1	35.7 ± 11.6	(1.87 ± 0.18 ± 0.09)×10−1	33.3 ± 21.8	−0.16 ± 0.28
J162651.69-241441.5	(2.10 ± 0.16 ± 0.10)×10−1	>78.9 ± 0.9	(1.47 ± 0.17 ± 0.07)×10−1	>71.2 ± 2.3	−0.72 ± 0.31
J162653.38-241105.8	(2.83 ± 0.20 ± 0.14)×10−1	55.0 ± 6.8	(2.76 ± 0.16 ± 0.14)×10−1	33.1 ± 7.6	−0.05 ± 0.23
J162657.84-244201.6	(1.74 ± 0.18 ± 0.09)×10−1	35.9 ± 11.7	(1.61 ± 0.16 ± 0.08)×10−1	50.6 ± 11.6	−0.16 ± 0.32
J162658.25-243738.5	(1.12 ± 0.11 ± 0.06)×10−1	57.3 ± 11.1	(5.40 ± 1.30 ± 0.27)×10−2	........	−1.47 ± 0.54
J162658.38-242130.5	(2.04 ± 0.17 ± 0.10)×10−1	>79.4 ± 0.8	(1.62 ± 0.28 ± 0.08)×10−1	>85.8 ± 0.7	−0.47 ± 0.41
J162659.16-243458.9	(5.51 ± 0.16 ± 0.28)×10−1	10.3 ± 6.4	(7.02 ± 0.24 ± 0.35)×10−1	12.5 ± 4.9	0.49 ± 0.17
J162700.00-242640.3	(7.11 ± 0.15 ± 0.36)×10+1	12.6 ± 1.8	(7.09 ± 0.38 ± 0.35)×10+1	17.3 ± 2.7	−0.01 ± 0.18
J162700.02-243537.6	(2.45 ± 0.13 ± 0.12)×10−1	24.0 ± 12.4	(1.91 ± 0.13 ± 0.10)×10−1	46.5 ± 11.9	−0.5 ± 0.23
J162702.11-243842.5	(2.20 ± 0.17 ± 0.11)×10−1	>55.5 ± 4.3	(2.24 ± 0.16 ± 0.11)×10−1	68.6 ± 7.3	0.04 ± 0.26
J162702.15-241927.8	(5.48 ± 0.19 ± 0.27)×10−1	6.4 ± 8.7	(3.09 ± 0.16 ± 0.15)×10−1	19.3 ± 11.8	−1.16 ± 0.19
J162702.33-243727.3	(1.02 ± 0.16 ± 0.05)×10−1	>43.0 ± 9.7	(1.21 ± 0.14 ± 0.06)×10−1	>28.4 ± 10.2	0.35 ± 0.42
J162702.36-242724.8	(3.62 ± 0.19 ± 0.18)×10−1	>4.5 ± 10.5	(2.32 ± 0.25 ± 0.12)×10−1	>39.7 ± 5.3	−0.9 ± 0.28
J162705.16-242007.8	(2.54 ± 0.22 ± 0.13)×10−1	27.9 ± 13.7	(1.41 ± 0.15 ± 0.07)×10−1	>43.6 ± 6.7	−1.19 ± 0.31
J162705.25-243629.8	(1.46 ± 0.30 ± 0.07)×10−1	5.6 ± 30.7	(1.33 ± 0.14 ± 0.07)×10−1	29.6 ± 15.1	−0.19 ± 0.49
J162705.96-242618.9	(3.85 ± 0.30 ± 0.19)×10−1	>76.8 ± 1.5	(2.89 ± 0.21 ± 0.14)×10−1	>6.4 ± 7.2	−0.58 ± 0.26
J162709.41-243719.0	(2.51 ± 0.15 ± 0.13)×10−1	30.9 ± 12.1	(3.57 ± 0.16 ± 0.18)×10−1	24.2 ± 8.9	0.71 ± 0.21
J162711.29-243722.5	(1.45 ± 0.12 ± 0.07)×10−1	20.6 ± 13.9	(8.00 ± 1.00 ± 0.40)×10−2	>44.8 ± 13.8	−1.2 ± 0.33
J162713.06-241817.0	(3.00 ± 0.18 ± 0.15)×10−1	41.2 ± 6.0	(1.79 ± 0.18 ± 0.09)×10−1	21.3 ± 14.4	−1.04 ± 0.28
J162713.62-242226.1	(1.31 ± 0.20 ± 0.07)×10−1	42.7 ± 24.8	(1.08 ± 0.26 ± 0.05)×10−1	>31.8 ± 24.8	−0.39 ± 0.59
J162715.69-243845.7	(2.20 ± 0.16 ± 0.11)×10−1	24.4 ± 13.2	(2.36 ± 0.28 ± 0.12)×10−1	35.1 ± 10.7	0.14 ± 0.32
J162718.17-242852.9	(3.78 ± 0.07 ± 0.19)×10+0	68.7 ± 1.0	(3.14 ± 0.09 ± 0.16)×10+0	65.2 ± 1.6	−0.38 ± 0.16
J162718.25-243334.8	(2.99 ± 0.28 ± 0.15)×10−1	>45.8 ± 3.0	(1.14 ± 0.14 ± 0.06)×10−1	>53.1 ± 17.7	−1.95 ± 0.34
J162719.34-243130.4	(1.21 ± 0.18 ± 0.06)×10−1	>28.6 ± 21.1	(8.50 ± 1.20 ± 0.43)×10−2	........	−0.71 ± 0.44
J162719.50-244140.3	(1.60 ± 0.37 ± 0.08)×10−1	>42.4 ± 12.0	(8.70 ± 1.20 ± 0.43)×10−2	>56.6 ± 5.5	−1.23 ± 0.56
J162721.81-244335.9	(3.66 ± 0.23 ± 0.18)×10−1	76.1 ± 3.3	(3.42 ± 0.22 ± 0.17)×10−1	>81.8 ± 0.9	−0.14 ± 0.23
J162721.97-242940.0	(1.47 ± 0.24 ± 0.07)×10−1	45.9 ± 17.9	(1.32 ± 0.16 ± 0.07)×10−1	41.1 ± 13.0	−0.22 ± 0.43
J162724.19-242929.8	(1.52 ± 0.17 ± 0.08)×10−1	>57.1 ± 4.6	(1.52 ± 0.19 ± 0.08)×10−1	>33.3 ± 11.1	−0.0 ± 0.37
J162726.90-244050.8	(1.87 ± 0.06 ± 0.09)×10+0	6.1 ± 5.5	(1.53 ± 0.05 ± 0.08)×10+0	20.0 ± 4.7	−0.41 ± 0.17
J162727.36-243116.8	(1.76 ± 0.20 ± 0.09)×10−1	58.6 ± 12.7	(1.26 ± 0.15 ± 0.06)×10−1	34.6 ± 17.9	−0.68 ± 0.36
J162728.00-243933.7	(3.50 ± 0.22 ± 0.17)×10−1	22.3 ± 10.1	(3.96 ± 0.30 ± 0.20)×10−1	12.3 ± 12.8	0.25 ± 0.24
J162729.23-241755.3	(3.90 ± 0.06 ± 0.20)×10+0	18.6 ± 1.3	(2.33 ± 0.06 ± 0.12)×10+0	28.9 ± 2.7	−1.04 ± 0.15
J162730.82-244727.2	(8.44 ± 0.16 ± 0.42)×10−1	64.2 ± 2.2	(4.87 ± 0.65 ± 0.24)×10−1	>29.7 ± 7.7	−1.11 ± 0.31
J162731.05-243403.4	(1.64 ± 0.22 ± 0.08)×10−1	>69.3 ± 2.2	(3.58 ± 0.29 ± 0.18)×10−1	>89.0 ± 0.4	1.58 ± 0.35
J162731.19-242833.8	(1.87 ± 0.09 ± 0.09)×10−1	>61.3 ± 1.2	(1.05 ± 0.05 ± 0.05)×10−1	51.7 ± 6.2	−1.17 ± 0.20
J162732.68-243324.5	(1.84 ± 0.19 ± 0.09)×10−1	44.7 ± 13.0	(2.00 ± 0.15 ± 0.10)×10−1	61.2 ± 9.1	0.17 ± 0.29
J162734.55-242020.7	(1.18 ± 0.03 ± 0.06)×10+0	29.6 ± 4.2	(6.72 ± 0.25 ± 0.34)×10−1	38.7 ± 6.0	−1.14 ± 0.17
J162735.13-242624.0	(3.48 ± 0.12 ± 0.17)×10−1	17.3 ± 6.8	(1.72 ± 0.19 ± 0.09)×10−1	45.8 ± 9.4	−1.42 ± 0.27
J162738.20-242630.5	(2.73 ± 0.13 ± 0.14)×10−1	12.2 ± 10.3	(1.98 ± 0.17 ± 0.10)×10−1	22.8 ± 12.7	−0.65 ± 0.24
J162739.42-243915.8	(7.20 ± 1.50 ± 0.36)×10−2	44.5 ± 22.6	(1.25 ± 0.15 ± 0.06)×10−1	>49.3 ± 11.0	1.11 ± 0.51
J162741.49-243537.6	(1.43 ± 0.15 ± 0.07)×10−1	>61.8 ± 2.6	(1.02 ± 0.13 ± 0.05)×10−1	>25.7 ± 13.1	−0.68 ± 0.36
J162749.85-242540.5	(8.00 ± 0.10 ± 0.40)×10+0	32.3 ± 2.3	(8.51 ± 0.27 ± 0.43)×10+0	31.1 ± 3.1	0.12 ± 0.16
J162751.37-242750.4	(2.86 ± 0.23 ± 0.14)×10−1	>22.1 ± 6.8	(1.27 ± 0.15 ± 0.06)×10−1	........	−1.64 ± 0.32
J162751.89-244630.1	(7.69 ± 0.42 ± 0.38)×10−1	>95.6 ± 0.1	(6.61 ± 0.37 ± 0.33)×10−1	>92.3 ± 0.4	−0.31 ± 0.21
J162752.08-244050.5	(1.67 ± 0.05 ± 0.08)×10+0	76.1 ± 1.0	(2.21 ± 0.07 ± 0.11)×10+0	84.7 ± 0.6	0.57 ± 0.17
J162752.30-242929.9	(8.70 ± 1.40 ± 0.43)×10−2	>43.8 ± 14.8	(1.05 ± 0.17 ± 0.05)×10−1	>17.1 ± 16.9	0.38 ± 0.48
J162753.08-242830.3	(2.34 ± 0.21 ± 0.12)×10−1	48.9 ± 11.8	(1.74 ± 0.29 ± 0.09)×10−1	>45.3 ± 7.5	−0.6 ± 0.41
J162757.81-244001.9	(3.14 ± 0.13 ± 0.16)×10−1	61.3 ± 4.1	(2.62 ± 0.13 ± 0.13)×10−1	64.7 ± 6.7	−0.37 ± 0.19
J162759.09-242225.9	(2.43 ± 0.32 ± 0.12)×10−1	21.5 ± 15.2	(1.34 ± 0.22 ± 0.07)×10−1	>25.8 ± 20.8	−1.2 ± 0.45
J162759.95-244819.5	(1.96 ± 0.14 ± 0.10)×10+0	>97.0 ± 0.1	(2.64 ± 0.21 ± 0.13)×10+0	>95.9 ± 0.1	0.6 ± 0.26
J162804.65-243456.6	(2.66 ± 0.29 ± 0.13)×10−1	>76.6 ± 1.3	(1.60 ± 0.24 ± 0.08)×10−1	>58.5 ± 3.8	−1.03 ± 0.40
J163027.69-243300.2	(2.40 ± 0.29 ± 0.12)×10−1	55.3 ± 8.2	(2.02 ± 0.20 ± 0.10)×10−1	45.5 ± 11.8	−0.35 ± 0.35
J163031.02-243158.2	(2.82 ± 0.56 ± 0.14)×10−1	5.0 ± 17.0	(1.91 ± 0.25 ± 0.10)×10−1	>59.4 ± 4.4	−0.79 ± 0.50
J163032.26-243127.9	(7.88 ± 0.22 ± 0.39)×10−1	42.5 ± 5.3	(9.22 ± 0.60 ± 0.46)×10−1	43.5 ± 6.2	0.32 ± 0.20
J163033.26-243038.7	(1.69 ± 0.28 ± 0.08)×10−1	>60.7 ± 5.9	(2.20 ± 0.75 ± 0.11)×10−1	>24.1 ± 12.1	0.53 ± 0.78
J163033.64-243519.0	(1.32 ± 0.19 ± 0.07)×10−1	>10.6 ± 24.5	(1.51 ± 0.16 ± 0.08)×10−1	38.1 ± 19.6	0.27 ± 0.39
J163035.21-243417.8	(1.94 ± 0.27 ± 0.10)×10−1	21.3 ± 21.7	(1.33 ± 0.15 ± 0.07)×10−1	45.2 ± 11.5	−0.76 ± 0.39
J163035.63-243418.9	(1.03 ± 0.04 ± 0.05)×10+0	33.3 ± 6.6	(1.07 ± 0.03 ± 0.05)×10+0	16.6 ± 8.3	0.08 ± 0.18
J163036.26-243135.3	(7.40 ± 0.19 ± 0.37)×10−1	41.4 ± 4.7	(5.66 ± 0.31 ± 0.28)×10−1	36.7 ± 9.1	−0.54 ± 0.19
J163036.93-241334.9	(6.80 ± 0.44 ± 0.34)×10−1	17.0 ± 9.7	(4.50 ± 0.23 ± 0.23)×10−1	32.3 ± 9.5	−0.83 ± 0.22
J163037.85-241206.0	(1.41 ± 0.03 ± 0.07)×10+0	15.1 ± 6.2	(8.07 ± 0.21 ± 0.40)×10−1	18.1 ± 8.4	−1.13 ± 0.16
J163058.02-243441.3	(3.43 ± 0.38 ± 0.17)×10−1	29.4 ± 12.7	(3.78 ± 0.64 ± 0.19)×10−1	>26.3 ± 8.7	0.2 ± 0.43
J163109.63-242554.7	(1.07 ± 0.03 ± 0.05)×10+0	27.9 ± 5.9	(9.64 ± 0.75 ± 0.48)×10−1	>42.0 ± 6.2	−0.21 ± 0.22
J163109.79-243008.4	(1.49 ± 0.02 ± 0.07)×10+0	21.1 ± 4.2	(5.81 ± 0.35 ± 0.29)×10−1	27.1 ± 7.2	−1.9 ± 0.19
J163112.95-242722.6	(4.13 ± 0.28 ± 0.21)×10−1	17.2 ± 12.2	(1.99 ± 0.17 ± 0.10)×10−1	>33.3 ± 9.5	−1.48 ± 0.26
J163115.01-243243.9	(8.20 ± 0.46 ± 0.41)×10−1	78.9 ± 2.2	(6.31 ± 0.36 ± 0.32)×10−1	81.9 ± 2.1	−0.53 ± 0.22
J163115.25-243313.8	(2.10 ± 0.21 ± 0.10)×10−1	25.6 ± 13.8	(1.75 ± 0.19 ± 0.09)×10−1	17.3 ± 16.4	−0.37 ± 0.33
J163115.75-243402.8	(4.57 ± 0.30 ± 0.23)×10−1	>79.2 ± 0.7	(4.82 ± 0.28 ± 0.24)×10−1	>87.3 ± 1.0	0.11 ± 0.23
J163120.14-242928.5	(9.89 ± 0.09 ± 0.49)×10+0	11.8 ± 3.5	(6.23 ± 0.11 ± 0.31)×10+0	11.5 ± 3.0	−0.93 ± 0.15
J163120.18-243001.0	(2.95 ± 0.27 ± 0.15)×10−1	59.3 ± 6.5	(2.85 ± 0.21 ± 0.14)×10−1	57.2 ± 8.3	−0.07 ± 0.28
J163130.62-243351.6	(7.40 ± 0.33 ± 0.37)×10−1	8.3 ± 7.6	(5.03 ± 0.37 ± 0.25)×10−1	50.0 ± 6.7	−0.78 ± 0.22
J163131.09-242719.6	(4.30 ± 0.13 ± 0.21)×10+0	44.2 ± 3.0	(3.46 ± 0.11 ± 0.17)×10+0	33.9 ± 3.2	−0.44 ± 0.17
J163140.49-245234.7	(7.68 ± 0.37 ± 0.38)×10−1	38.9 ± 6.9	(4.67 ± 0.42 ± 0.23)×10−1	........	−1.01 ± 0.25
J163151.93-245617.4	(2.87 ± 0.13 ± 0.14)×10+0	93.3 ± 0.7	(4.43 ± 0.31 ± 0.22)×10+0	97.5 ± 0.4	0.88 ± 0.22
J163152.10-245615.7	(3.63 ± 0.37 ± 0.18)×10−1	>67.2 ± 5.4	(1.26 ± 0.09 ± 0.06)×10+0	>41.1 ± 4.8	2.52 ± 0.29
J163152.34-253144.7	(1.50 ± 0.19 ± 0.07)×10−1	16.5 ± 19.1	(1.12 ± 0.22 ± 0.06)×10−1	>34.8 ± 8.8	−0.59 ± 0.49
J163154.49-245217.1	(6.46 ± 0.17 ± 0.32)×10−1	35.5 ± 4.7	(3.53 ± 0.27 ± 0.18)×10−1	30.8 ± 15.4	−1.22 ± 0.22
J163159.36-245639.7	(2.19 ± 0.04 ± 0.11)×10+0	10.8 ± 5.2	(1.56 ± 0.07 ± 0.08)×10+0	26.1 ± 6.2	−0.69 ± 0.17
J163159.51-252918.7	(3.28 ± 0.21 ± 0.16)×10−1	23.7 ± 11.9	(2.52 ± 0.17 ± 0.13)×10−1	5.6 ± 17.5	−0.53 ± 0.24
J163200.97-245643.3	(7.19 ± 0.37 ± 0.36)×10−1	52.7 ± 5.8	(7.94 ± 0.27 ± 0.40)×10−1	43.7 ± 3.6	0.2 ± 0.19
J163202.39-245710.0	(2.86 ± 0.40 ± 0.14)×10−1	>67.4 ± 3.6	(2.15 ± 0.39 ± 0.11)×10−1	>42.5 ± 5.3	−0.58 ± 0.48
J163208.05-253016.3	(6.08 ± 0.08 ± 0.30)×10+0	2.2 ± 5.9	(4.11 ± 0.09 ± 0.21)×10+0	5.9 ± 8.1	−0.79 ± 0.15
J163210.20-245618.9	(3.12 ± 0.41 ± 0.16)×10−1	>44.3 ± 5.5	(2.04 ± 0.13 ± 0.10)×10−1	........	−0.86 ± 0.33
J163210.77-243827.6	(5.33 ± 0.33 ± 0.27)×10−1	23.1 ± 7.7	(3.61 ± 0.27 ± 0.18)×10−1	57.6 ± 9.2	−0.79 ± 0.24
J163211.08-243651.1	(7.69 ± 0.27 ± 0.38)×10−1	38.7 ± 5.9	(6.62 ± 0.82 ± 0.33)×10−1	>25.5 ± 14.9	−0.3 ± 0.30
J163211.79-244021.8	(1.50 ± 0.03 ± 0.08)×10+0	28.0 ± 3.4	(1.32 ± 0.05 ± 0.07)×10+0	30.0 ± 6.8	−0.27 ± 0.16
J163227.41-243951.4	(6.82 ± 0.25 ± 0.34)×10−1	20.4 ± 5.1	(4.45 ± 0.21 ± 0.22)×10−1	37.2 ± 5.8	−0.86 ± 0.19
J163231.17-244014.6	(5.10 ± 0.27 ± 0.26)×10−1	34.3 ± 5.9	(4.16 ± 0.25 ± 0.21)×10−1	32.5 ± 6.6	−0.41 ± 0.22
J163421.10-235625.1	(1.80 ± 0.20 ± 0.09)×10−1	>76.1 ± 1.2	(1.48 ± 0.16 ± 0.07)×10−1	>73.7 ± 2.5	−0.4 ± 0.34
J163436.01-235614.5	(8.57 ± 0.56 ± 0.43)×10−1	19.7 ± 9.5	(4.72 ± 0.77 ± 0.24)×10−1	33.2 ± 12.5	−1.21 ± 0.38
J163437.30-235946.2	(5.88 ± 0.34 ± 0.29)×10−1	17.5 ± 8.2	(7.37 ± 0.56 ± 0.37)×10−1	>33.1 ± 8.4	0.46 ± 0.24
J163615.79-242159.8	(2.61 ± 0.36 ± 0.13)×10−1	15.3 ± 10.6	(2.12 ± 0.14 ± 0.11)×10−1	7.9 ± 14.2	−0.42 ± 0.34
J163617.50-242555.4	(2.06 ± 0.07 ± 0.10)×10+0	11.4 ± 7.0	(1.47 ± 0.17 ± 0.07)×10+0	>29.7 ± 7.4	−0.68 ± 0.28
J163626.93-242117.8	(1.76 ± 0.20 ± 0.09)×10−1	29.8 ± 15.7	(2.00 ± 0.31 ± 0.10)×10−1	>35.9 ± 10.4	0.26 ± 0.41
J163949.54-235939.0	(2.62 ± 0.41 ± 0.13)×10−1	32.9 ± 19.9	(1.90 ± 0.27 ± 0.10)×10−1	>25.2 ± 8.0	−0.65 ± 0.45
J164002.06-240137.0	(3.96 ± 0.26 ± 0.20)×10−1	19.2 ± 10.5	(2.15 ± 0.24 ± 0.11)×10−1	>10.3 ± 14.1	−1.23 ± 0.30


